A/D | analogue to digital
AAD | area array device
ABCL | as built configuration list
ABM | apogee boost motor
AC | alternating current
ACK | acknowledge
ACP | ASIC and FPGA control plan
ACS | attitude control system
ADC | analogue digital converter
ADP | acceptance data package 
AE | auroral electrojet
AFT | abbreviated functional test
AGC | automatic gain control
AIT | assembly integration and test
AITP | assembly integration and test plan
AIV | assembly integration and verification
AIVP | assembly integration and verification plan
AKE | absolute knowledge error
AL | acceptance test load
ALARA | as low as reasonably achievable
AM | amplitude modulation
AME | absolute measurement error
AMS | aerospace material specification
AO | atomic oxygen
AOC | auto orthogonality check
AOCS | attitude and orbit control system
AOI | automated optical inspection
AOQ | average outgoing quality
AOS | advanced orbiting systems
APE | absolute performance error
API | application programming interface
APID | application process identifier
APP | a posteriori probability
APS | active pixel sensor
APTC | ambient pressure thermal cycling
AQL | acceptance quality level
AR | acceptance review
ARC | anti-reflection coating
ARF | alignment reference frame
ARMA | auto-regressive moving average
ARME | absolute rate measurement error
ARPT | analysis report
ARQ | automatic repeat request
ARW | angular random walk
ASIC | application specific integrated circuit
ASSP | application specific standard product
AST | autonomous star tracker
ATB | avionics test bench
ATC | acquisition transfer confirmation
ATR | acquisition transfer request
ATR | attenuated total reflection
ATV | automated transfer vehicle
AVC | arc voltage control
AVT | acceptance vibration test
AWGN | additive white Gaussian noise
AWN | angular white noise
B/L | baseline
BAI | residual burst strength after impact
BB | breadboard
BCI | bulk cable injection
BCRS | barycentric celestial reference system
BDM | bi-level discrete monitor
BER | bit error rate
BFN | beam forming network
BGA | ball grid array
BIT | built-in testing
BIs | biological indicators
BJT | bipolar junction transistor
BM | bus monitor
BOL | beginning-of-life
BOM | bill of materials
BRF | boresight reference frame
BRYNTRN | Baryon transport model
BPSK | binary phase shift keying
BSC | bare solar cell
BSD | bi-directional serial digital
BSM | bi-level switch monitor
BTE | Boltzmann transport equation
BTG | bit transition generator
BiCMOS | bipolar complementary metal oxide semiconductor
C/N | carrier to noise ratio
C&CCP | cleanliness and contamination control plan
C1 | concentration expressed in ppm
CA | construction analysis
CAAR | compatibility assessment and applicability report
CAD | computer aided design
CADU | channel access data unit
CAE | computer aided engineering
CAGE | commercial and government entity
CAN | controller area network
CBCP | current baseline cost plan
CBGA | ceramic ball grid array
CBS | cost breakdown structure
CC&M | common cause and common failure mode analysis
CCB | configuration control board
CCD | charge coupled device
CCE | charge collection efficiency
CCGA | ceramic column grid array
CCHP | constant conductance heat pipe
CCN | contract change notice
CCP | component control plan
CD | compact disk
CDL | capillary driven loop
CDM | charge device model
CDR | critical design review 
CDS | CCSDS day segmented
CEASE | compact environmental anomaly sensor
CEPXS/ONELD | One-dimensional Coupled Electron-Photon Multigroup Discrete Coordinates Code System
CEX | charge exchange
CF | communication frame
CFC | chloro fluoro carbons
CFD | computational fluid dynamics
CFU | colony forming unit
CFISRD | customer furnished items and services requirements document
CGA | column grid array
CIDL | configuration item data list
CI± | chemical ionization
CIL | critical items list
CLA | centre line average
CLTU | communications link transmission unit
CMC | ceramic matrix composites
CME | coefficient of moisture expansion
CMIF | complex mode indicator function
CMM | carrier modulation mode
CMMI | capability maturity model integration
CMOS | complementary metal oxide semiconductor
COB-ID | communication object identifier
COG | centre of gravity
COM | centre of mass
COP | communications operation procedure
COPC | composite over-wrapped pressurized component
COPS | composite over-wrapped pressurized structures
COPV | composite overwrapped pressure vessel
COSPE | composite over-wrapped special pressurized equipment
COTS | commercial-off-the-shelf 
CPDU | command pulse distribution unit
CPE | chlorinated poly ethylene
CPIA | chemical propulsion information agency
CPL | capillary pumped loop
CPM | critical path method
CPPA | centralized parts procurement agent
CPS | composite pressurized structure
CPU | central processing unit
CPV | composite pressure vessel
CRA | cleaning requirement analysis
